PMID,Title,Journal,Publication Date,DOI,PMC ID,Free Text Availability
10205059,"SPA1, a WD-repeat protein specific to phytochrome A signal transduction.","Science (New York, N.Y.)","{'Year': '1999', 'Month': 'Apr', 'Day': '16'}",10.1126/science.284.5413.496,,Likely no free text
10809447,Cloning of Arabidopsis thaliana phosphatidylinositol synthase and functional expression in the yeast pis mutant.,Plant molecular biology,"{'Year': '2000', 'Month': 'Mar'}",10.1023/a:1006308909105,,Likely no free text
11230129,The NAF domain defines a novel protein-protein interaction module conserved in Ca2+-regulated kinases.,The EMBO journal,"{'Year': '2001', 'Month': 'Mar', 'Day': '01'}",10.1093/emboj/20.5.1051,PMC145464,Likely Freely Available
11710601,"Herbivore-induced volatile production by Arabidopsis thaliana leads to attraction of the parasitoid Cotesia rubecula: chemical, behavioral, and gene-expression analysis.",Journal of chemical ecology,"{'Year': '2001', 'Month': 'Oct'}",10.1023/a:1012213116515,,Likely no free text
12090627,Probing the diversity of the Arabidopsis glutathione S-transferase gene family.,Plant molecular biology,"{'Year': '2002', 'Month': 'Jul'}",10.1023/a:1015557300450,,Likely no free text
12177459,Using genomic resources to guide research directions. The arabinogalactan protein gene family as a test case.,Plant physiology,"{'Year': '2002', 'Month': 'Aug'}",10.1104/pp.003459,PMC166734,Likely Freely Available
12376625,Identification and biochemical characterization of mutants in the proanthocyanidin pathway in Arabidopsis.,Plant physiology,"{'Year': '2002', 'Month': 'Oct'}",10.1104/pp.006189,PMC166587,Likely Freely Available
14731261,Definition and interactions of a positive regulatory element of the Arabidopsis INNER NO OUTER promoter.,The Plant journal : for cell and molecular biology,"{'Year': '2004', 'Month': 'Feb'}",10.1046/j.1365-313x.2003.01971.x,,Likely no free text
15695441,"The Arabidopsis pseudo-response regulators, PRR5 and PRR7, coordinately play essential roles for circadian clock function.",Plant & cell physiology,"{'Year': '2005', 'Month': 'Apr'}",10.1093/pcp/pci061,,Likely no free text
15792798,Mitochondrial localization of Arabidopsis thaliana Isu Fe-S scaffold proteins.,FEBS letters,"{'Year': '2005', 'Month': 'Mar', 'Day': '28'}",10.1016/j.febslet.2005.02.038,,Likely no free text
15927942,Contribution of gibberellins to the formation of Arabidopsis seed coat through starch degradation.,Plant & cell physiology,"{'Year': '2005', 'Month': 'Aug'}",10.1093/pcp/pci141,,Likely no free text
16698901,NUCLEAR FUSION DEFECTIVE1 encodes the Arabidopsis RPL21M protein and is required for karyogamy during female gametophyte development and fertilization.,Plant physiology,"{'Year': '2006', 'Month': 'Jul'}",10.1104/pp.106.079319,PMC1489897,Likely Freely Available
16965555,The protein kinase genes MAP3K epsilon 1 and MAP3K epsilon 2 are required for pollen viability in Arabidopsis thaliana.,The Plant journal : for cell and molecular biology,"{'Year': '2006', 'Month': 'Oct'}",10.1111/j.1365-313X.2006.02863.x,,Likely no free text
17329563,The absence of histone H2B monoubiquitination in the Arabidopsis hub1 (rdo4) mutant reveals a role for chromatin remodeling in seed dormancy.,The Plant cell,"{'Year': '2007', 'Month': 'Feb'}",10.1105/tpc.106.049221,PMC1867323,Likely Freely Available
17360436,Heterotrimeric G protein signaling in the Arabidopsis unfolded protein response.,Proceedings of the National Academy of Sciences of the United States of America,"{'Year': '2007', 'Month': 'Mar', 'Day': '06'}",10.1073/pnas.0611735104,PMC1820667,Likely Freely Available
