PMID,Title,Journal,Publication Date,DOI,PMC ID,Free Text Availability
24779420,"Endoplasmic reticulum localized PerA is required for cell wall integrity, azole drug resistance, and virulence in Aspergillus fumigatus.",Molecular microbiology,"{'Year': '2014', 'Month': 'Jun'}",10.1111/mmi.12626,PMC4112376,Likely Freely Available
26769705,Aspergillus fumigatus Produces Two Arabinofuranosidases From Glycosyl Hydrolase Family 62: Comparative Properties of the Recombinant Enzymes.,Applied biochemistry and biotechnology,"{'Year': '2016', 'Month': 'Apr'}",10.1007/s12010-016-1984-0,,Likely no free text
26529322,"Transcription Factor SomA Is Required for Adhesion, Development and Virulence of the Human Pathogen Aspergillus fumigatus.",PLoS pathogens,{'Year': '2015'},10.1371/journal.ppat.1005205,PMC4631450,Likely Freely Available
20852021,Aspergillus fumigatus flbB encodes two basic leucine zipper domain (bZIP) proteins required for proper asexual development and gliotoxin production.,Eukaryotic cell,"{'Year': '2010', 'Month': 'Nov'}",10.1128/EC.00198-10,PMC2976297,Likely Freely Available
26342082,Sph3 Is a Glycoside Hydrolase Required for the Biosynthesis of Galactosaminogalactan in Aspergillus fumigatus.,The Journal of biological chemistry,"{'Year': '2015', 'Month': 'Nov', 'Day': '13'}",10.1074/jbc.M115.679050,PMC4645995,Likely Freely Available
23990787,Aspergillus galactosaminogalactan mediates adherence to host constituents and conceals hyphal β-glucan from the immune system.,PLoS pathogens,{'Year': '2013'},10.1371/journal.ppat.1003575,PMC3749958,Likely Freely Available
25386169,Perturbations in small molecule synthesis uncovers an iron-responsive secondary metabolite network in Aspergillus fumigatus.,Frontiers in microbiology,{'Year': '2014'},10.3389/fmicb.2014.00530,PMC4208449,Likely Freely Available
29150592,The Influence of Genetic Stability on <i>Aspergillus fumigatus</i> Virulence and Azole Resistance.,"G3 (Bethesda, Md.)","{'Year': '2018', 'Month': 'Jan', 'Day': '04'}",10.1534/g3.117.300265,PMC5765354,Likely Freely Available
31548684,Fungal biofilm morphology impacts hypoxia fitness and disease progression.,Nature microbiology,"{'Year': '2019', 'Month': 'Dec'}",10.1038/s41564-019-0558-7,PMC7396965,Likely Freely Available
31131706,Differential requirements of protein geranylgeranylation for the virulence of human pathogenic fungi.,Virulence,"{'Year': '2019', 'Month': 'Dec'}",10.1080/21505594.2019.1620063,PMC6550545,Likely Freely Available
